id,company_id,code,name,un_ece_code,table_code,description,percentage,amount_min
pe_cpe_catalog3_18,,GRM,Gram                                                 ,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_19,,GRO,Gross,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_20,,HLT,Hectoliter                                            ,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_21,,LEF,Leaf,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_22,,SET,Set,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_23,,KGM,Kilogram,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_24,,KTM,Kilometre                                             ,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_25,,KWH,Kilowatt hour,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_26,,KT,Kit,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_27,,CA,Can,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_28,,LBR,Pound,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_29,,LTR,Litre,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_30,,MWH,Megawatt hour (1000 kW.h),,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_31,,MTR,Metre,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_32,,MTK,Square metre,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_33,,MTQ,Cubic metre,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_34,,MGM,Milligram                                            ,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_35,,MLT,Millilitre                                             ,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_36,,MMT,Millimetre                                             ,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_37,,MMK,Square millimetre,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_38,,MMQ,Cubic millimetre,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_39,,MIL,Thousand,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_40,,UM,Million unit,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_41,,ONZ,Ounce,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_42,,PF,Pallet,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_43,,PK,Package,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_44,,PR,Pair,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_45,,FOT,Foot,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_46,,FTK,Square foot,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_47,,FTQ,Cubic foot,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_48,,C62,One,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_49,,PG,Plate,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_50,,ST,Sheet,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_51,,INH,Inch,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_52,,RM,Ream,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_53,,DR,Drum,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_54,,STN,Ton (US) or short ton (UK/US),,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_55,,LTN,Ton (UK) or longton (US),,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_56,,TNE,Tonne (metric ton),,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_57,,TU,Tube,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_58,,NIU,Units,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_59,,ZZ,Unit (services),,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_60,,GLL,Gallon (US),,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_61,,YRD,Yard,,PE.CPE.CATALOG3,,,
pe_cpe_catalog3_62,,YDK,Square yard,,PE.CPE.CATALOG3,,,
,,,,,,,,
